Original,VGG-PCA-10
0.5644067796610169,0.523728813559322
0.5686440677966101,0.5305084745762711
0.5584745762711865,0.5423728813559322
0.5830508474576273,0.5457627118644067
0.5822033898305083,0.5432203389830509
0.5923728813559322,0.5610169491525424
0.6042372881355933,0.5711864406779662
0.5898305084745763,0.5728813559322034
0.6008474576271187,0.5805084745762712
0.602542372881356,0.5822033898305083
0.6084745762711864,0.5805084745762711
0.6118644067796611,0.5847457627118642
0.6169491525423729,0.5847457627118643
0.6203389830508477,0.5957627118644067
0.6152542372881358,0.5864406779661016
0.6152542372881357,0.592372881355932
0.6254237288135596,0.5822033898305083
0.6296610169491528,0.5881355932203389
0.6288135593220338,0.5830508474576269
0.6330508474576272,0.5898305084745762
0.6322033898305087,0.5991525423728813
0.6355932203389832,0.5923728813559321
0.6305084745762712,0.5889830508474575
0.6398305084745762,0.5889830508474576
0.6347457627118643,0.5957627118644069
0.6305084745762711,0.5991525423728814
0.6296610169491528,0.5932203389830508
0.6279661016949153,0.590677966101695
0.6313559322033898,0.5813559322033898
0.6313559322033898,0.5788135593220338
0.6364406779661018,0.5847457627118643
0.640677966101695,0.592372881355932
0.6449152542372882,0.5940677966101693
0.6449152542372882,0.5830508474576269
0.6449152542372881,0.5906779661016947
0.6423728813559322,0.5872881355932202
0.6423728813559321,0.592372881355932
